,article_index,article_title,article_date,sentence,category,auto_tagged_voice
215,139,Wednesday briefing: Israel prepares for an invasion; Republicans to vote on a speaker; George Santos charges; Tim Ballard accusations; fattest bear; and more,10/11/2023,"

In  Gaza:  Israeli  strikes  have  killed  at  least  1,055  people  and  forced  the  closure  of  the  only  exit  from  the  blockaded  territory.

",palestine,ACTIVE
216,139,Wednesday briefing: Israel prepares for an invasion; Republicans to vote on a speaker; George Santos charges; Tim Ballard accusations; fattest bear; and more,10/11/2023," He  said  at  least  14  Americans  have  been  killed  and  others  are  among  hostages  taken  by  Hamas.2

House  Republicans  will  vote  on  a  new  speaker  today.


",israel,PASSIVE
217,140,Israel-Gaza war live updates: U.S. says Israel ‘not responsible’ for Gaza hospital blast; Biden says Sisi will allow aid into Gaza via Rafah,10/18/2023," The  Gaza  Health  Ministry  said  the  strike,  which  Palestinian  authorities  blamed  on  Israel,  killed  471  people. ",palestine,ACTIVE
218,140,Israel-Gaza war live updates: U.S. says Israel ‘not responsible’ for Gaza hospital blast; Biden says Sisi will allow aid into Gaza via Rafah,10/18/2023,"
At  least  1,400  people  in  Israel  have  been  killed  and  more  than  4,562  injured  since  the  unprecedented  cross-border  Hamas  attack  on  Oct.  7,  Israeli  authorities  said. ",israel,PASSIVE
219,140,Israel-Gaza war live updates: U.S. says Israel ‘not responsible’ for Gaza hospital blast; Biden says Sisi will allow aid into Gaza via Rafah,10/18/2023," Palestinian  officials  said  3,478  people  in  Gaza  have  been  killed  and  more  than  12,500  wounded. ",palestine,PASSIVE
220,140,Israel-Gaza war live updates: U.S. says Israel ‘not responsible’ for Gaza hospital blast; Biden says Sisi will allow aid into Gaza via Rafah,10/18/2023," At  least  31  U.S.  nationals  have  died,  with  13  unaccounted  for. ",israel,ACTIVE
221,146,Palestinian Americans in Washington on edge watching Gaza news,10/14/2023," Mansour  said  that  two  of  his  uncles'  homes  have  been  bombed  and  that  one  of  his  cousins  was  killed.
",palestine,PASSIVE
222,146,Palestinian Americans in Washington on edge watching Gaza news,10/14/2023,"
Israeli  military  strikes  in  Gaza  have  killed  more  than  1,800  people,  roughly  half  of  them  women  and  children,  and  7,300  others  have  been  wounded,  according  to  the  Health  Ministry  in  Gaza.
",palestine,ACTIVE
223,146,Palestinian Americans in Washington on edge watching Gaza news,10/14/2023," Everyone  they  know  in  Gaza  knows  someone  who  has  been  killed  or  injured  or  whose  home  has  been  destroyed,  said  Alshaikh,  30,  a  Palestinian  American  who  is  pursuing  a  doctorate  in  history  at  Harvard  University.
",palestine,PASSIVE
224,147,Trump recenters the violence in Israel on himself,10/12/2023," ""Under  Biden,  the  same  people  that  attacked  Israel  —  killing,  raping,  torturing  and  maiming  innocent  civilians  —  are  right  now  pouring  into  our  once-beautiful  U.S.A.""  He  used  the  term  ""once-beautiful,""  he  said,  because  of  how  the  country  had  declined  since  he  left  office.
",israel,ACTIVE
225,150,Israel vows ‘complete victory’ over Hamas as Gaza crisis deepens,10/14/2023," 
TEL  AVIV  —  Israel  continued  its  military  campaign  in  Gaza  on  Saturday,  saying  it  had  killed  a  commander  who  was  involved  in  last  week's  Hamas  attacks,  as  hundreds  of  thousands  of  Palestinians  in  the  enclave  braced  for  an  expected  Israeli  ground  invasion.
",palestine,ACTIVE
226,150,Israel vows ‘complete victory’ over Hamas as Gaza crisis deepens,10/14/2023,"
Hanegbi  said  that  he  had  ""made  a  mistake""  in  failing  to  accurately  assess  Hamas's  desire  to  confront  Israel  following  the  Hamas  assault  last  Saturday  that  killed  more  than  1,300  Israeli  civilians  and  soldiers. ",israel,ACTIVE
227,150,Israel vows ‘complete victory’ over Hamas as Gaza crisis deepens,10/14/2023,"
Near  the  Gaza  border,  where  Hamas  militants  killed  families  in  their  homes  on  Oct.  7,  a  group  of  Israeli  soldiers  in  white  protective  suits  filled  a  truck  with  body  bags  on  Saturday. ",israel,ACTIVE
228,150,Israel vows ‘complete victory’ over Hamas as Gaza crisis deepens,10/14/2023," Some  were  writing  messages  on  tank  shells  in  memory  of  soldiers  that  had  been  killed.
",israel,PASSIVE
229,150,Israel vows ‘complete victory’ over Hamas as Gaza crisis deepens,10/14/2023,"
The  Israel  Defense  Forces  and  Shin  Bet,  Israel's  internal  security  service,  said  in  a  joint  statement  that  Ali  Kachi,  a  commander  in  the  Nukhba  force,  who  they  said  led  one  of  the  groups  of  attackers  that  infiltrated  Israel  last  week,  was  killed  in  an  airstrike.
",palestine,PASSIVE
230,150,Israel vows ‘complete victory’ over Hamas as Gaza crisis deepens,10/14/2023," The  health  ministry  there  said  Saturday  that  2,215  Palestinians,  including  724  children,  had  been  killed  since  the  start  of  Israel's  military  campaign  on  Oct.  7. ",palestine,PASSIVE
231,153,Why the Israel-Gaza war represents a broader crisis for global justice,10/20/2023, Israel  cannot  pretend  it's  just  destroying  Hamas  because  in  the  meantime  it  is  killing  masses  of  civilians. ,palestine,ACTIVE
232,155,The Israeli-Palestinian conflict: A chronology,10/9/2023," In  Israel,  Hamas  militants  killed  at  least  1,400  people  since  Saturday,  according  to  Israeli  authorities. ",israel,ACTIVE
233,155,The Israeli-Palestinian conflict: A chronology,10/9/2023," Palestinian  authorities  said  Israeli  strikes  killed  at  least  2,778  people  in  Gaza. ",palestine,ACTIVE
234,155,The Israeli-Palestinian conflict: A chronology,10/9/2023," November  2012:  Israel  kills  Hamas  military  chiefIsrael  kills  Hamas  military  chief  Ahmed  Jabari,  touching  off  more  than  a  week  of  rocket  fire  from  Gaza  and  Israeli  airstrikes. ",palestine,ACTIVE
235,155,The Israeli-Palestinian conflict: A chronology,10/9/2023," November  2012:  Israel  kills  Hamas  military  chiefIsrael  kills  Hamas  military  chief  Ahmed  Jabari,  touching  off  more  than  a  week  of  rocket  fire  from  Gaza  and  Israeli  airstrikes. ",palestine,ACTIVE
236,155,The Israeli-Palestinian conflict: A chronology,10/9/2023," Israel  says  at  least  1,400  Israelis  have  been  killed  in  the  surprise  attacks  that  saw  gunmen  hunting  down  Israeli  civilians  in  their  homes  around  border  areas.
",israel,PASSIVE
237,155,The Israeli-Palestinian conflict: A chronology,10/9/2023,"
A  major  counterattack  of  airstrikes  by  Israel  in  Gaza  has  killed  more  than  2,778  Palestinians.
",palestine,ACTIVE
238,156,Assault on Israel fuels political attacks in the U.S. presidential race,10/7/2023," The  Saturday  attack,  which  has  killed  at  least  250  Israelis  and  injured  thousands  more,  according  to  the  national  emergency  service  Magen  David  Adom,  is  one  of  the  most  serious  in  years  after  weeks  of  rising  tensions  along  the  volatile  border.
",israel,ACTIVE
239,156,Assault on Israel fuels political attacks in the U.S. presidential race,10/7/2023,"
Israeli  strikes  have  killed  at  least  230  people  in  the  Gaza  Strip,  according  to  the  Palestinian  Health  Ministry.
",palestine,ACTIVE
240,157,War roils campuses and raises fears of antisemitism,10/19/2023,"
After  the  surprise  Hamas  attack  that  left  more  than  1,400  people  dead  in  Israel  and  thousands  more  wounded,  the  Georgia  Tech  chapter  of  Alpha  Epsilon  Pi  hung  a  banner  from  a  balcony  that  declared  solidarity  with  Israel. ",israel,ACTIVE
241,158,Biden hoped for a quiet Middle East. So much for that.,10/8/2023," More  than  700  Israelis  have  been  killed,  while  Hamas  has  captured  an  uncertain  number  of  Israelis  and  brought  them  as  hostages  into  embattled,  blockaded  Gaza. ",israel,PASSIVE
242,158,Biden hoped for a quiet Middle East. So much for that.,10/8/2023," At  least  370  Palestinians  have  also  been  killed  as  Israel  formally  declared  war  on  Hamas  on  Sunday,  vowing  a  long  campaign  as  clashes  and  strikes  spread  to  Israel's  border  with  Lebanon.
",palestine,PASSIVE
243,158,Biden hoped for a quiet Middle East. So much for that.,10/8/2023,"
Israelis  and  onlookers  elsewhere  are  stunned  by  the  scale  and  horror  of  Hamas's  invasion,  which  saw  myriad  innocent  civilians  killed  and  children  taken  hostage. ",israel,ACTIVE
244,160,Have war crimes been committed in Israel and Gaza?,10/13/2023,"
In  Israel,  Hamas  militants  have  slaughtered  civilians,  unleashed  a  barrage  of  indiscriminate  rocket  fire,  and  taken  at  least  200  people  —including  Israelis  and  foreigners  —  hostage  since  it  launched  a  surprise  attack  on  Oct.  7. ",israel,ACTIVE
245,160,Have war crimes been committed in Israel and Gaza?,10/13/2023," In  Gaza,  Israel  has  leveled  entire  neighborhoods,  killed  more  than  2,700  people,  and  ordered  a  ""full  siege""  of  the  territory,  including  shutting  off  access  to  water  and  power.
",palestine,ACTIVE
246,160,Have war crimes been committed in Israel and Gaza?,10/13/2023,"
In  its  surprise  assault  on  Oct.  7,  Hamas  militants  infiltrated  and  attacked  Israeli  military  bases,  killing  some  soldiers  and  taking  others  hostage. ",israel,ACTIVE
247,161,Hamas is emulating ISIS’s horrors. But ISIS lost.,10/17/2023," Its  fighters  had  orders  to  ""kill  as  many  people  as  possible,""  and  they  did  so  in  particularly  heinous  and  grisly  ways. ",israel,ACTIVE
248,161,Hamas is emulating ISIS’s horrors. But ISIS lost.,10/17/2023," The  stories  of  Hamas  terrorists  slaughtering  babies  and  seniors,  indeed  wiping  out  entire  families,  are  seared  in  the  minds  of  Israelis  and  are  driving  the  Israel  Defense  Forces  to  prepare  a  massive  military  assault  designed  to  eradicate  Hamas. ",israel,
249,163,"Like his predecessors, Biden’s trying new ‘bully pulpit’ approaches",10/17/2023," And  unequivocal  U.S.  support  for  Israel  —  as  opposed  to  the  more  nuanced  positions  it  often  takes  in  Middle  East  flare-ups  —  may  be  one  of  the  biggest  barriers  to  better  relations,""  Politico's  Nahal  Toosi  reports.The  Biden  agendaBiden  to  travel  to  Israel  on  Wednesday""President  Biden  will  travel  to  Israel  on  Wednesday,  the  White  House  said,  in  a  dramatic  show  of  support  for  the  country  after  Hamas  killed  more  than  1,400  Israelis  in  a  terrorist  attack  —  a  gesture  that  comes  as  Israel  is  expected  to  imminently  launch  a  hard-hitting  retaliatory  ground  invasion  of  Gaza  that  has  raised  humanitarian  concerns,""  Yasmeen  Abutaleb,  Tyler  Pager  and  John  Hudson  report.Biden,  trolling  Trump,  joins  Truth  Social:  'Converts  welcome'""Officials  with  President  Biden's  re-election  campaign  have  long  pledged  to  meet  voters  where  they  are. ",israel,ACTIVE
250,163,"Like his predecessors, Biden’s trying new ‘bully pulpit’ approaches",10/17/2023," More  than  1,100  people  have  been  killed,  according  to  Palestinian  officials,""  Laris  Karklis,  Júlia  Ledur,  Ruby  Mellen,  Samuel  Granados  and  Emily  M.  Eng  report.Hot  on  the  leftDemocrats'  unity  starts  cracking  on  Israel-Gaza  conflict""Democrats  have  been  almost  entirely  unified  in  the  wake  of  the  Oct.  7  attacks,  in  which  Palestinian  gunmen  from  Hamas  hunted  civilians  in  their  homes  and  cars,  shot  people  indiscriminately  and  took  scores  of  hostages,  including  some  Americans,  into  Gaza. ",palestine,PASSIVE
251,163,"Like his predecessors, Biden’s trying new ‘bully pulpit’ approaches",10/17/2023," More  than  1,100  people  have  been  killed,  according  to  Palestinian  officials,""  Laris  Karklis,  Júlia  Ledur,  Ruby  Mellen,  Samuel  Granados  and  Emily  M.  Eng  report.Hot  on  the  leftDemocrats'  unity  starts  cracking  on  Israel-Gaza  conflict""Democrats  have  been  almost  entirely  unified  in  the  wake  of  the  Oct.  7  attacks,  in  which  Palestinian  gunmen  from  Hamas  hunted  civilians  in  their  homes  and  cars,  shot  people  indiscriminately  and  took  scores  of  hostages,  including  some  Americans,  into  Gaza. ",palestine,ACTIVE
252,163,"Like his predecessors, Biden’s trying new ‘bully pulpit’ approaches",10/17/2023," The  vast  majority  of  the  party  has  remained  steadfastly  behind  Israel  as  it  launches  its  retaliatory  campaign  for  the  attacks,  which  killed  more  than  1,400  Israelis,""  Yasmeen  Abutaleb  and  Theodoric  Meyer  report. 
 
""",israel,ACTIVE
253,165,Israel's endgame after operation is difficult to predict,10/16/2023,"
The  images  of  Hamas  infiltrators  slaughtering  Israeli  families  and  kidnapping  children  ended  that  status  quo. ",israel,ACTIVE
254,165,Israel's endgame after operation is difficult to predict,10/16/2023," Already,  Israel's  air  attacks  have  killed  more  than  2,600,  according  to  Palestinian  authorities,  and  begun  to  decimate  public  infrastructure.
",palestine,ACTIVE
255,165,Israel's endgame after operation is difficult to predict,10/16/2023,"
As  the  shock  wave  from  a  Hamas  rampage  that  killed  1,400  Israelis  has  swept  away  old  assumptions,  scenarios  that  seemed  impossible  just  days  ago  could  be  in  play:  Israel  reoccupying  Gaza,  at  least  temporarily;  the  return  of  the  Palestinian  Authority  to  the  enclave;  international  peacekeepers;  a  demilitarized  Hamas  still  technically  holding  government  authority.
",israel,ACTIVE
256,168,"U.S. seeks Gaza aid, safe zones as Israeli invasion looms",10/16/2023," Aid  workers  warned  that  Gaza  was  already  reckoning  with  a  humanitarian  disaster  because  of  Israel's  blockade  of  water  and  electricity,  a  punishing  response  to  the  Hamas  attack  that  killed  more  than  1,400  people.
",israel,ACTIVE
257,168,"U.S. seeks Gaza aid, safe zones as Israeli invasion looms",10/16/2023,"
Already,  at  least  2,778  people  have  been  killed  in  Gaza  and  almost  10,000  wounded. ",palestine,PASSIVE
258,168,"U.S. seeks Gaza aid, safe zones as Israeli invasion looms",10/16/2023," In  Rafah  city  nearby,  civilians  have  also  been  killed.
",palestine,PASSIVE
259,168,"U.S. seeks Gaza aid, safe zones as Israeli invasion looms",10/16/2023," Among  the  images  The  Post  was  allowed  to  view  Monday  were  previously  unviewed  scenes  of  a  man  being  beheaded  with  a  garden  hoe,  bodies  of  burned  children  and  infants,  and  drivers  being  shot.
",israel,PASSIVE
260,168,"U.S. seeks Gaza aid, safe zones as Israeli invasion looms",10/16/2023," Among  the  images  The  Post  was  allowed  to  view  Monday  were  previously  unviewed  scenes  of  a  man  being  beheaded  with  a  garden  hoe,  bodies  of  burned  children  and  infants,  and  drivers  being  shot.
",israel,PASSIVE
261,169,Jewish activists arrested during protest at White House over Israel-Gaza war,10/16/2023,"
Biden  has  expressed  his  steadfast  support  for  Israel  since  the  Oct.  7  attack,  when  gunmen  from  Hamas,  the  militant  group  that  controls  Gaza,  broke  through  Israel's  border,  killing  more  than  1,400  people  and  taking  others  into  Gaza  as  hostages,  including  some  American  citizens.
",israel,ACTIVE
262,169,Jewish activists arrested during protest at White House over Israel-Gaza war,10/16/2023,"
Since  then,  airstrikes  by  the  Israeli  military  on  the  Gaza  Strip  have  killed  more  than  2,700  people  and  wounded  almost  10,000. ",palestine,ACTIVE
263,169,Jewish activists arrested during protest at White House over Israel-Gaza war,10/16/2023," We  have  loved  ones  who  were  killed  and  kidnapped,""  said  Arad-Neeman,  who  said  an  extended  family  member  was  killed  in  the  recent  violence.  """,israel,PASSIVE
264,169,Jewish activists arrested during protest at White House over Israel-Gaza war,10/16/2023," We  have  loved  ones  who  were  killed  and  kidnapped,""  said  Arad-Neeman,  who  said  an  extended  family  member  was  killed  in  the  recent  violence.  """,israel,PASSIVE
265,170,U.S.-approved aid faces several hurdles to reach desperate Gazans,10/19/2023," Those  deliveries  stopped  entirely  when  Israeli  and  Egyptian  border  crossings  into  Gaza  were  closed  after  Hamas  militants  killed  at  least  1,400  people  in  a  surprise  assault  on  Israeli  border  communities  on  Oct.  7.
",israel,ACTIVE
266,170,U.S.-approved aid faces several hurdles to reach desperate Gazans,10/19/2023,"
Almost  two  weeks  of  heavy  Israeli  airstrikes  have  killed  more  than  3,000  Palestinians,  leveled  whole  neighborhoods,  and  pushed  the  health  system  in  Gaza  on  the  verge  of  collapse. ",palestine,ACTIVE
267,170,U.S.-approved aid faces several hurdles to reach desperate Gazans,10/19/2023," The  World  Health  Organization  has  recorded  at  least  59  attacks  on  medical  infrastructure  since  Oct.  7,  killing  16  health  workers,  wounding  28  more  and  pushing  four  hospitals  out  of  service.
",palestine,ACTIVE
268,170,U.S.-approved aid faces several hurdles to reach desperate Gazans,10/19/2023," The  Palestinian  news  agency  WAFA  reported  Wednesday  that  Israeli  warplanes  bombed  five  bakeries  in  different  locations,  killing  dozens  of  people  and  injuring  hundreds  as  they  lined  up  to  buy  bread. ",palestine,ACTIVE
269,170,U.S.-approved aid faces several hurdles to reach desperate Gazans,10/19/2023," Medics  and  aid  workers  have  also  been  killed  off  duty,  sometimes  as  they  left  work  to  check  on  their  families.
",palestine,PASSIVE
270,171,At least 400 Americans are trapped in Gaza with 'no place safe for us to go',10/22/2023," His  sister,  Joud,  14,  was  killed  in  the  airstrike  that  damaged  the  family's  home  in  Gaza  City,  said  Yousof's  cousin  Bahgat  Aboushaban,  who  lives  in  Michigan.
",palestine,PASSIVE
271,172,Tuesday briefing: Hostages in Gaza; Biden probe; House speaker race; unlivable heat; new Olympic sports; and more,10/10/2023,"


The  latest:  At  least  900  people  have  been  killed  in  Israel  since  Saturday's  surprise  attack  by  Hamas  militants. ",israel,PASSIVE
272,172,Tuesday briefing: Hostages in Gaza; Biden probe; House speaker race; unlivable heat; new Olympic sports; and more,10/10/2023,"

In  Gaza:  At  least  680  people  have  died  amid  Israeli  airstrikes. ",palestine,ACTIVE
273,174,How Hamas breached Israel’s ‘Iron Wall’,10/10/2023,"
At  least  900  people  have  been  killed  in  Israel  and  more  than  2,600  wounded. ",israel,PASSIVE
274,174,How Hamas breached Israel’s ‘Iron Wall’,10/10/2023," Israel  has  pounded  Gaza  with  airstrikes,  killing  at  least  680  people,  according  to  Palestinian  authorities.
",palestine,ACTIVE
275,175,Rockets can be normal in Gaza. This is something else.,10/10/2023, Only  around  two  hours  later  do  we  begin  to  see  a  flood  of  photos  and  videos  of  Gaza  militants  killing  soldiers  and  civilians  and  taking  others  as  prisoners. ,israel,ACTIVE
276,175,Rockets can be normal in Gaza. This is something else.,10/10/2023,"
Now  it's  the  fourth  day,  and  at  least  900  people  in  Gaza  have  been  killed,  about  half  of  them  children  and  women. ",palestine,PASSIVE
277,175,Rockets can be normal in Gaza. This is something else.,10/10/2023," On  Monday,  my  aunt  called  to  inform  us  that  our  pregnant  cousin  had  been  killed  in  an  airstrike  on  a  mosque  bordering  their  house. ",palestine,PASSIVE
278,175,Rockets can be normal in Gaza. This is something else.,10/10/2023, I  arrived  home  half  an  hour  later  to  the  news  that  more  than  50  people  had  been  killed  in  the  strike. ,palestine,PASSIVE
279,176,The next speaker is almost certainly not McCarthy,10/10/2023,"
""That  should  tell  you  why  this  is  a  bad  idea,""  Cole  said,  to  laughs.Attack  on  Israel  mostly  unites  Congress,  for  nowThe  horrific  nature  of  Hamas's  attack  in  Israel  and  the  large  number  of  Israeli  civilians  killed  and  kidnapped  mean  Congress  is  perhaps  more  united  on  Israel  than  it  has  been  in  recent  history. 
",israel,ACTIVE
280,181,"Live updates: Israeli troops still clearing houses, as strikes hit Gaza Strip",10/7/2023,"Here's  what  to  knowThe  Hamas  military  operation  has  killed  at  least  250  Israelis  and  left  thousands  more  injured,  according  to  the  national  emergency  service  Maged  David  Adom. ",israel,ACTIVE
281,181,"Live updates: Israeli troops still clearing houses, as strikes hit Gaza Strip",10/7/2023," Israeli  strikes  have  killed  at  least  230  people  in  the  Gaza  Strip  and  injured  about  1,700,  according  to  the  Palestinian  Health  Ministry. ",palestine,ACTIVE
282,183,"1.1M in northern Gaza should evacuate within 24 hours, Israel tells U.N.; Blinken visits Jordan",10/12/2023,"
CORRECTION:  A  previous  version  of  this  update  incorrectly  attributed  the  announcement  that  at  least  27  Americans  had  been  killed  by  Hamas  militants  to  Secretary  of  State  Antony  Blinken. ",israel,PASSIVE
283,183,"1.1M in northern Gaza should evacuate within 24 hours, Israel tells U.N.; Blinken visits Jordan",10/12/2023,"
The  Hamas  attack  killed  at  least  1,300  people  in  Israel  and  wounded  about  3,300,  authorities  said. ",israel,ACTIVE
284,183,"1.1M in northern Gaza should evacuate within 24 hours, Israel tells U.N.; Blinken visits Jordan",10/12/2023," Palestinian  officials  said  more  than  1,500  people  in  Gaza  have  been  killed  and  some  6,600  injured  as  a  result  of  Israeli  strikes.
",palestine,PASSIVE
285,185,Biden cautions Israel on responding to its own 9/11,10/18/2023,"…  and  beyondAfter  blast  kills  hundreds  at  Gaza  hospital,  Hamas  and  Israel  trade  blame  as  rage  spreads  in  region""Hamas  called  Tuesday's  hospital  blast  'a  horrific  massacre,'  saying  it  was  caused  by  an  Israeli  strike. ",palestine,ACTIVE
286,186,"Americans are being held as hostages, Biden says",10/11/2023," 

President  Biden  said  Tuesday  that  Americans  were  among  the  hostages  being  held  by  Hamas,  in  addition  to  14  U.S.  citizens  who  have  been  killed,  and  he  vowed  that  the  United  States  would  stand  by  Israel  as  it  responds  forcefully  to  the  surprise  attack  on  its  soil.
",israel,PASSIVE
287,186,"Americans are being held as hostages, Biden says",10/11/2023,"
""There  are  moments  in  this  life  when  pure,  unadulterated  evil  is  unleashed  in  this  world,""  he  said,  referring  to  ""stomach-turning  reports  of  babies  being  killed""  and  ""women  raped,  assaulted,  paraded  as  trophies.""
",israel,PASSIVE
288,186,"Americans are being held as hostages, Biden says",10/11/2023," The  surprise  attack,  during  which  Hamas  gunmen  hunted  civilians  in  their  homes  and  cars,  killed  at  least  900  people  and  wounded  2,700  in  Israel. ",israel,ACTIVE
289,186,"Americans are being held as hostages, Biden says",10/11/2023,"
The  onslaught  sparked  a  major  retaliatory  bombing  campaign  by  Israel  in  the  Gaza  Strip  that  has  killed  more  than  750  people,  Palestinian  authorities  said.
",palestine,ACTIVE
290,186,"Americans are being held as hostages, Biden says",10/11/2023," Israeli  airstrikes  in  the  past  few  days  have  killed  an  unknown  number  of  civilians,  including  children,  according  to  Palestinian  health  officials.
",palestine,ACTIVE
291,188,Israeli protest group leads grass-roots civilian evacuation efforts,10/15/2023," They've  put  politics  aside  and  are  helping  in  the  mass  evacuation  of  Israeli  civilians  from  communities  near  the  Gaza  perimeter,  as  Israel  steps  up  a  military  campaign  that  has  displaced  nearly  a  million  people  and  killed  more  than  2,200,  according  to  Palestinian  health  officials.
",palestine,ACTIVE
292,188,Israeli protest group leads grass-roots civilian evacuation efforts,10/15/2023,"
The  brutal  assault  killed  at  least  1,300  people,  taking  the  country's  government  and  military  by  surprise. ",israel,ACTIVE
293,188,Israeli protest group leads grass-roots civilian evacuation efforts,10/15/2023,"
In  Beit  Kama,  teams  of  psychologists  and  enormous  trays  of  home-cooked  food  await  the  evacuated  families,  many  of  whom  hid  in  their  homes  as  Hamas  gunmen  rampaged  outside,  killing  neighbors  and  their  own  loved  ones.
",israel,
294,189,American Jews feel solidarity about Israel — for the moment,10/8/2023,"
Rabbi  Rick  Jacobs,  leader  of  Reform  Judaism,  the  largest  denomination  of  Judaism,  said  the  image  of  Jews  being  terrorized  and  murdered  ""does  tap  into  a  very  different  part  of  the  American  Jewish  psyche."" ",israel,
295,191,"Israel pounds Gaza Strip, prepares for ground assault",10/11/2023,"
At  least  1,100  Palestinians  and  1,200  Israelis  have  been  killed  since  Hamas  militants  attacked  Israeli  communities  near  the  Gaza  Strip  on  Saturday,  overrunning  military  bases,  hunting  civilians,  taking  hostages  and  inflicting  upon  Israel  one  of  the  bloodiest  days  in  its  75-year  history.
",both,PASSIVE
296,191,"Israel pounds Gaza Strip, prepares for ground assault",10/11/2023," The  organization  said  four  of  its  medics  were  killed  in  strikes  on  two  ambulances  in  30  minutes.
",palestine,PASSIVE
297,191,"Israel pounds Gaza Strip, prepares for ground assault",10/11/2023,"
At  least  22  U.S.  citizens  have  been  killed  and  17  others  are  unaccounted  for,  U.S.  officials  said  Wednesday.
",israel,PASSIVE
298,191,"Israel pounds Gaza Strip, prepares for ground assault",10/11/2023," Hamas  said  the  family  home  of  Mohammed  Deif,  leader  of  the  organization's  military  wing,  was  hit,  killing  his  brother.
",palestine,ACTIVE
299,191,"Israel pounds Gaza Strip, prepares for ground assault",10/11/2023,"
The  Israeli  military  said  its  aircraft  also  struck  and  killed  Zakaria  Abu  Maamar,  a  member  of  the  Hamas  political  bureau. ",palestine,
300,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023," 

Qusra,  West  Bank  -  At  least  11  Palestinians  were  killed  by  Israeli  security  forces  and  dozens  injured  across  the  West  Bank  on  Friday,  according  to  the  Palestinian  Ministry  of  Health,  as  fears  rise  over  mounting  violence  and  instability  ahead  of  an  expected  Israeli  land  invasion  of  Gaza.
",palestine,PASSIVE
301,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023,"
Four  of  the  Palestinians  killed  Friday  were  shot  dead  during  clashes  with  Israeli  security  forces  west  of  Tulkarem,  according  to  WAFA,  the  official  Palestinian  news  agency. ",palestine,ACTIVE
302,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023,"
Four  of  the  Palestinians  killed  Friday  were  shot  dead  during  clashes  with  Israeli  security  forces  west  of  Tulkarem,  according  to  WAFA,  the  official  Palestinian  news  agency. ",palestine,PASSIVE
303,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023," A  14-year-old  was  killed  during  ""confrontations""  near  a  military  checkpoint  east  of  Nablus,  WAFA  said.
",palestine,PASSIVE
304,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023,"
At  least  43  West  Bank  Palestinians  have  been  killed  by  Israeli  forces  and  settlers  since  Saturday,  when  Hamas  gunmen  rampaged  through  southern  Israel,  killing  at  least  1,300  people. ",both,PASSIVE
305,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023,"
At  least  43  West  Bank  Palestinians  have  been  killed  by  Israeli  forces  and  settlers  since  Saturday,  when  Hamas  gunmen  rampaged  through  southern  Israel,  killing  at  least  1,300  people. ",both,ACTIVE
306,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023,"
All  eyes  are  now  on  Gaza,  where  more  than  1,700  Palestinians  have  been  killed  and  hundreds  of  thousands  displaced. ",palestine,PASSIVE
307,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023,"
On  Wednesday,  armed  settlers  shot  dead  three  Palestinians  from  the  same  family  outside  their  home  near  Qusra,  a  small  village  of  some  7,000  people,  according  to  Palestinian  officials  and  family  members.
",palestine,ACTIVE
308,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023,"
In  the  confrontation  that  ensued,  Abdulazim  said,  settlers  shot  dead  his  brother,  Ibrahim  Ahmed  al-Wadi,  68,  and  nephew,  31-year-old  Ahmed  Ibrahim  al-Wadi.
",palestine,ACTIVE
309,192,"With all eyes on war in Gaza, violence is quietly mounting in the West Bank",10/14/2023,"
""We  came  to  make  an  intifada,""  said  26-year-old  Anwar  Abu  Salem,  using  the  Arabic  term  for  an  uprising,  ""for  our  people  in  Gaza  who  are  being  slaughtered.""
",palestine,ACTIVE
310,196,Putin's visit to China offers opportunity to showcase alliance against West,10/17/2023," While  Western  leaders  have  firmly  backed  Israel,  Russia  and  China  have  carefully  avoided  describing  the  Oct.  7  Hamas  attack  that  killed  more  than  1,400  Israelis  as  terrorism.
",israel,ACTIVE
311,197,Hamas releases two Americans it held captive in Gaza,10/20/2023," I  feel  their  pain  while  they  watch  as  their  children  get  killed,""  said  Haidy  Mohsen,  38,  a  freelance  artist  in  the  Egyptian  capital.
",palestine,PASSIVE
312,197,Hamas releases two Americans it held captive in Gaza,10/20/2023,"
Israeli  strikes  have  killed  4,137  people  in  Gaza  and  wounded  more  than  13,200,  Palestinian  officials  say. ",palestine,ACTIVE
313,197,Hamas releases two Americans it held captive in Gaza,10/20/2023," At  least  1,400  people  in  Israel  have  been  killed  and  more  than  4,500  injured  since  the  Oct.  7  attack,  Israeli  officials  say. ",israel,PASSIVE
314,199,Palestinians abroad struggle to contact family in Gaza as siege continues,10/15/2023,"
Ten  members  of  her  extended  family,  ages  1  to  62,  were  killed  in  a  single  airstrike  that  hit  their  home  Wednesday  morning. ",palestine,PASSIVE
