article_index,article_title,article_date,sentence,category,auto_tagged_voice
164,"A Chaotic Urban Hellscape Awaits Israel in a Gaza Invasion --- Snipers, tunnels and rubble would make battlefield unpredictable and claustrophobic",2023-10-21," The  possible  invasion  would  pit  one  of  the  world's  strongest  militaries  against  highly  motivated  defenders  who  are  energized  by  their  successful  surprise  attack  on  Oct.  7,  when  Hamas  fighters  killed  more  than  1,400  people  and  grabbed  more  than  200  hostages.
",israel,ACTIVE
164,"A Chaotic Urban Hellscape Awaits Israel in a Gaza Invasion --- Snipers, tunnels and rubble would make battlefield unpredictable and claustrophobic",2023-10-21," It  has  dropped  thousands  of  bombs  on  thousands  of  targets,  laying  waste  to  entire  neighborhoods,  toppling  high-rise  apartment  buildings  and  killing  Hamas  leaders. ",palestine,ACTIVE
164,"A Chaotic Urban Hellscape Awaits Israel in a Gaza Invasion --- Snipers, tunnels and rubble would make battlefield unpredictable and claustrophobic",2023-10-21," More  than  3,750  Palestinians  --  mostly  women  and  children  --  have  already  been  killed,  according  to  the  Gaza  Health  Ministry,  and  that's  before  any  Israeli  ground  troops  enter  the  territory. ",palestine,PASSIVE
164,"A Chaotic Urban Hellscape Awaits Israel in a Gaza Invasion --- Snipers, tunnels and rubble would make battlefield unpredictable and claustrophobic",2023-10-21," Hamas  says  that  some  of  the  hostages  have  already  been  killed  by  Israeli  airstrikes.
",israel,PASSIVE
166,"Biden Weighs Israel Visit as U.S. Push for Border Opening Stalls; The U.S. has been trying to get Americans out of Gaza, aid into Palestinian enclave by negotiating opening a border crossing with Egypt",2023-10-16,"

In  its  Oct.  7  attack,  Hamas  killed  at  least  1,400  Israelis  and  took  hundreds  of  hostages  . ",israel,ACTIVE
166,"Biden Weighs Israel Visit as U.S. Push for Border Opening Stalls; The U.S. has been trying to get Americans out of Gaza, aid into Palestinian enclave by negotiating opening a border crossing with Egypt",2023-10-16," It  is  unclear  if  that  total  includes  about  22  hostages  that  Hamas  says  have  been  killed  during  Israeli  airstrikes.

",israel,PASSIVE
166,"Biden Weighs Israel Visit as U.S. Push for Border Opening Stalls; The U.S. has been trying to get Americans out of Gaza, aid into Palestinian enclave by negotiating opening a border crossing with Egypt",2023-10-16,"

Hamas  on  Monday  released  a  video  of  one  of  the  hostages,  a  21-year-old  woman  named  Mia  Schem  who  was  injured  and  kidnapped  from  an  outdoor  music  festival  where  over  250  people  were  killed. ",israel,PASSIVE
166,"Biden Weighs Israel Visit as U.S. Push for Border Opening Stalls; The U.S. has been trying to get Americans out of Gaza, aid into Palestinian enclave by negotiating opening a border crossing with Egypt",2023-10-16," Meanwhile,  Israel  said  its  air  strikes  had  killed  Hamas'    chief  hostage  negotiator  as  well  as  the  head  of  the  militant  group's  general  intelligence  service. 

",palestine,ACTIVE
166,"Biden Weighs Israel Visit as U.S. Push for Border Opening Stalls; The U.S. has been trying to get Americans out of Gaza, aid into Palestinian enclave by negotiating opening a border crossing with Egypt",2023-10-16,"

Mahmoud  Shalabi,  senior  program  manager  in  Gaza  for  Medical  Aid  for  Palestinians,  a  London-based  charity,  said  one  airstrike  in  southern  Gaza  overnight  killed  five  firefighters  who  were  trying  to  rescue  people  from  a  bombed  building,  and  another  killed  80  people,  most  of  whom  were  displaced  from  other  parts  of  Gaza.

",palestine,ACTIVE
166,"Biden Weighs Israel Visit as U.S. Push for Border Opening Stalls; The U.S. has been trying to get Americans out of Gaza, aid into Palestinian enclave by negotiating opening a border crossing with Egypt",2023-10-16,"

Mahmoud  Shalabi,  senior  program  manager  in  Gaza  for  Medical  Aid  for  Palestinians,  a  London-based  charity,  said  one  airstrike  in  southern  Gaza  overnight  killed  five  firefighters  who  were  trying  to  rescue  people  from  a  bombed  building,  and  another  killed  80  people,  most  of  whom  were  displaced  from  other  parts  of  Gaza.

",palestine,
172,"Israel Forms Unity Cabinet to Wage War --- Opposition figures join Netanyahu as Gaza strikes intensify, offensive is awaited",2023-10-12," The  country  appears  increasingly  likely  to  launch  a  ground  offensive  into  Gaza  following  the  attacks  that  killed  more  than  1,200  Israelis.
",israel,ACTIVE
172,"Israel Forms Unity Cabinet to Wage War --- Opposition figures join Netanyahu as Gaza strikes intensify, offensive is awaited",2023-10-12,"
Israeli  strikes  in  Gaza  have  killed  at  least  1,200  Palestinians  since  Saturday,  according  to  the  enclave's  Health  Ministry. ",palestine,ACTIVE
172,"Israel Forms Unity Cabinet to Wage War --- Opposition figures join Netanyahu as Gaza strikes intensify, offensive is awaited",2023-10-12," Everything  with  a  pulse,  they  massacred  them,""  said  an  organizer  of  the  Nova  music  festival  close  to  Gaza  where  Hamas  killed  more  than  250  revelers.  """,israel,ACTIVE
172,"Israel Forms Unity Cabinet to Wage War --- Opposition figures join Netanyahu as Gaza strikes intensify, offensive is awaited",2023-10-12," Hamas  has  denied  that  its  militants  beheaded  children.
",israel,ACTIVE
172,"Israel Forms Unity Cabinet to Wage War --- Opposition figures join Netanyahu as Gaza strikes intensify, offensive is awaited",2023-10-12,"""

Nine  staff  of  the  U.N.  Relief  and  Works  Agency  for  Palestine  Refugees  have  been  killed  since  the  strikes  began  over  the  weekend,  the  agency  said.
",palestine,PASSIVE
173,Free Expression: The New World Disorder and Hamas's Barbaric Attack on Israel,2023-10-10,"
Pray  tell,  what  is  a  ""proportionate""  response  to  an  enemy  that  indiscriminately  mows  down  young  partygoers  at  a  concert,  drags  off  terrified  grandmothers  to  an  unknown  fate  in  some  Gazan  hellscape,  and  spits  on  the  half-naked  body  of  an  innocent  young  woman  they  have  just  murdered?
",israel,ACTIVE
173,Free Expression: The New World Disorder and Hamas's Barbaric Attack on Israel,2023-10-10," They  murder,  rape  and  mutilate  Israelis,  knowing  that  in  its  response  Israel  will  wreak  havoc  on  Palestinians. ",israel,ACTIVE
175,"The Score: Lockheed Martin, Paramount Global, JPMorgan Chase and More Stocks That Defined the Week; Here are some of the major companies whose stocks moved on the week's news",2023-10-13,"
Hamas  militants  on  Oct.  7  surged  into  Israel  from  the  Gaza  Strip  in  a  surprise  attack,  during  which  hundreds  of  Israelis  were  killed  or  taken  hostage. ",israel,PASSIVE
175,"The Score: Lockheed Martin, Paramount Global, JPMorgan Chase and More Stocks That Defined the Week; Here are some of the major companies whose stocks moved on the week's news",2023-10-13," In  response,  Israel  declared  war  on  Hamas  and  began  retaliatory  strikes  on  Gaza,  also  killing  hundreds. ",palestine,ACTIVE
177,"Biden's Trip to Israel Carries Risks for U.S. Policy—and His Own Legacy; Visit raises political and diplomatic stakes for president, who vowed an end to 'forever wars'",2023-10-18," 
WASHINGTON—President  Biden  arrived  in  Israel  on  Wednesday  to  show  his  support  for  the  beleaguered  country,  hours  after  an  explosion  at  a  hospital  in  Gaza  killed  hundreds,  further  inflaming  the  region  and  prompting  cancellation  of  a  summit  with  Arab  leaders.
",palestine,ACTIVE
177,"Biden's Trip to Israel Carries Risks for U.S. Policy—and His Own Legacy; Visit raises political and diplomatic stakes for president, who vowed an end to 'forever wars'",2023-10-18,"
""The  United  States  stands  unequivocally  for  the  protection  of  civilian  life  during  conflict  and  we  mourn  the  patients,  medical  staff  and  other  innocents  killed  or  wounded  in  this  tragedy,""  Biden  said.
",palestine,ACTIVE
177,"Biden's Trip to Israel Carries Risks for U.S. Policy—and His Own Legacy; Visit raises political and diplomatic stakes for president, who vowed an end to 'forever wars'",2023-10-18, Some  Democrats  are  criticizing  Israel's  airstrikes  that  have  killed  Palestinians  in  Gaza  and  have  expressed  concerns  about  the  president's  staunch  support  for  Israel  ahead  of  a  ground  offensive. ,palestine,ACTIVE
177,"Biden's Trip to Israel Carries Risks for U.S. Policy—and His Own Legacy; Visit raises political and diplomatic stakes for president, who vowed an end to 'forever wars'",2023-10-18,"
Even  before  hundreds  died  at  the  hospital,  the  humanitarian  crisis  in  Gaza  had  been  dire,  as  Israel  pounded  the  densely  populated  territory  in  retaliation  for  this  month's  terrorist  attack  by  Hamas  militants. ",palestine,ACTIVE
179,"When Hamas Attacked, This Israeli Kibbutz Fought Back and Won; A dozen volunteers defended the families of a farming community in southern Israel from Hamas fighters who came to take hostages",2023-10-17," PHOTO:  Maya  Levin  for  the  Wall  Street  Journal

Palestinian  gunmen  who  flooded  out  of  Gaza  killed  1,400  Israelis  and  took  close  to  200  hostages,  terrorizing  and  shooting  people  at  more  than  20  Israeli  towns  and  military  bases  and  thousands  at  an  all-night  music  festival  not  far  from  Mefalsim.
",israel,ACTIVE
179,"When Hamas Attacked, This Israeli Kibbutz Fought Back and Won; A dozen volunteers defended the families of a farming community in southern Israel from Hamas fighters who came to take hostages",2023-10-17," PHOTO:  Maya  Levin  for  the  Wall  Street  Journal

Palestinian  gunmen  who  flooded  out  of  Gaza  killed  1,400  Israelis  and  took  close  to  200  hostages,  terrorizing  and  shooting  people  at  more  than  20  Israeli  towns  and  military  bases  and  thousands  at  an  all-night  music  festival  not  far  from  Mefalsim.
",israel,
179,"When Hamas Attacked, This Israeli Kibbutz Fought Back and Won; A dozen volunteers defended the families of a farming community in southern Israel from Hamas fighters who came to take hostages",2023-10-17, Two  attackers  were  killed  in  the  garden  of  a  house  by  four  Israeli  soldiers  who  were  home  on  a  weekend  leave. ,palestine,PASSIVE
179,"When Hamas Attacked, This Israeli Kibbutz Fought Back and Won; A dozen volunteers defended the families of a farming community in southern Israel from Hamas fighters who came to take hostages",2023-10-17, Two  more  were  killed  after  troops  found  them  hiding  in  a  cow  shed. ,palestine,PASSIVE
179,"When Hamas Attacked, This Israeli Kibbutz Fought Back and Won; A dozen volunteers defended the families of a farming community in southern Israel from Hamas fighters who came to take hostages",2023-10-17," PHOTO:  Maya  Levin  for  the  Wall  Street  Journal

No  Mefalsim  residents  were  killed  or  taken  hostage,  protected  by  a  dozen  residents,  many  of  them  former  Israeli  soldiers,  who  had  prepared  for  years  to  defend  the  kibbutz.
",israel,PASSIVE
180,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-12," 
DUBAI—Saturday's  attack  on  Israel  by  Hamas  militants,  who  killed  more  than  1,200  people  and  kidnapped  many  others  back  to  the  Gaza  Strip,  has  upended  fundamental  assumptions  about  the  Middle  East.
",israel,ACTIVE
180,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-12," After  swiftly  breaching  costly  Israeli  border  fortifications  and  overrunning  military  bases,  Hamas  gunmen  went  on  a  killing  spree—causing  the  worst  loss  of  Jewish  lives  since  the  Holocaust.
",israel,
180,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-12,"
More  Israeli  citizens  were  killed  Saturday  than  during  the  entire  Second  Intifada  of  2000-2005,  she  said.
",israel,PASSIVE
180,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-12," Israel's  high-tech  border  surveillance  system  around  Gaza  was  knocked  down  with  cheap  drones,  senior  officers  were  killed  at  captured  Israeli  military  bases  and  it  took  several  hours  for  Israeli  forces  to  start  driving  back  Hamas—time  that  the  Palestinian  gunmen  used  to  murder  or  kidnap  defenseless  civilians  .
",israel,PASSIVE
180,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-12," Israel's  high-tech  border  surveillance  system  around  Gaza  was  knocked  down  with  cheap  drones,  senior  officers  were  killed  at  captured  Israeli  military  bases  and  it  took  several  hours  for  Israeli  forces  to  start  driving  back  Hamas—time  that  the  Palestinian  gunmen  used  to  murder  or  kidnap  defenseless  civilians  .
",israel,ACTIVE
180,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-12," Several  hundred  Gaza  residents,  including  civilians,  have  been  killed  since  then,  according  to  the  Hamas-controlled  Ministry  of  Health,  and  key  infrastructure  destroyed.
",palestine,PASSIVE
182,World News -- Blast Stuns Doctors: 'No Place Is Safe Now',2023-10-19,"
Hundreds  of  people  died  in  Tuesday  night's  blast  at  the  Al-Ahli  Arab  Hospital  compound,  according  to  Gaza's  health  ministry,  which  is  run  by  Hamas.
",palestine,ACTIVE
182,World News -- Blast Stuns Doctors: 'No Place Is Safe Now',2023-10-19,"
Zaqout  says  he  had  to  let  patients  with  more  serious  wounds  die  to  focus  on  those  he  can  save. ",palestine,ACTIVE
182,World News -- Blast Stuns Doctors: 'No Place Is Safe Now',2023-10-19," People  outside  the  emergency  room  told  him  his  name  was  ""Muath""  and  that  his  father  had  just  died. ",palestine,ACTIVE
182,World News -- Blast Stuns Doctors: 'No Place Is Safe Now',2023-10-19,"
""I  saved  the  child,  but  killed  the  father,""  he  said. ",palestine,ACTIVE
182,World News -- Blast Stuns Doctors: 'No Place Is Safe Now',2023-10-19," Al  Shamali's  wife,  his  children  and  uncle  were  killed. ",palestine,PASSIVE
186,Beyond the Instagram War,2023-10-13, We  are  seeing  women  raped  and  children  slaughtered  right  on  our  feeds. ,israel,ACTIVE
188,"Secretive Hamas Commander Known as 'The Guest' Is Israel's Prime Target; Israel has tried to assassinate Mohammed Deif several times, but the commander of Hamas's armed wing has proven to be an elusive foe",2023-10-11," Militants  mowed  down  revelers  at  a  music  festival  ,  murdered  entire  communities  of  people  on  the  Gaza  border  and  kidnapped  children  and  the  elderly.
",israel,
188,"Secretive Hamas Commander Known as 'The Guest' Is Israel's Prime Target; Israel has tried to assassinate Mohammed Deif several times, but the commander of Hamas's armed wing has proven to be an elusive foe",2023-10-11," On  Wednesday,  Israeli  airstrikes  hit  the  home  of  one  of  his  family  members,  killing  his  brother  and  his  brother's  wife  and  children,  according  to  Palestinian  media  reports  and  people  in  Gaza. ",palestine,ACTIVE
190,Dozens of Countries Scramble to Identify More Than 150 Citizens Held Hostage in Gaza; Qatar and Turkey position themselves as key intermediaries; Hamas militants 'ditched their mobile phones and it was impossible to reach any of them',2023-10-15," In  messages  delivered  to  Turkey,  the  group  has  said  it  won't  consider  a  hostage  exchange  until  Israel  halts  bombing  and  releases  thousands  of  prisoners  including  those  taken  during  this  month's  massacres  that  killed  some  1,300  people.
",israel,ACTIVE
190,Dozens of Countries Scramble to Identify More Than 150 Citizens Held Hostage in Gaza; Qatar and Turkey position themselves as key intermediaries; Hamas militants 'ditched their mobile phones and it was impossible to reach any of them',2023-10-15,"
Twenty-two  of  the  hostages  have  been  killed  in  Israeli  airstrikes,  Hamas  said,  in  a  claim  that  couldn't  be  verified. ",israel,PASSIVE
197,Hamas and Black Lives Matter in Chicago,2023-10-17," Within  hours  of  the  attack,  BLM  Chicago  tweeted  a  picture  of  a  paraglider  like  the  ones  used  by  Hamas  killers  to  surprise  and  murder  the  young  revelers  at  a  music  festival. ",israel,
202,Killing Civilians: The New Normal,2023-10-12," 
The  most  noted  aspect  of  Hamas's  attack  on  Israel  is  that  its  fighters  on  the  ground  explicitly  targeted  Israeli  civilians  for  killing. ",israel,
202,Killing Civilians: The New Normal,2023-10-12, Israelis  were  shot  while  driving  along  the  street. ,israel,PASSIVE
202,Killing Civilians: The New Normal,2023-10-12, They  were  pulled  from  their  homes  and  killed. ,israel,
202,Killing Civilians: The New Normal,2023-10-12," The  Hamas-Iranian  strategy  may  be  to  drive  the  Israel  Defense  Forces  to  enter  Gaza's  dense  neighborhoods,  ensuring  the  death  of  Israeli  soldiers  from  roadside  bombs,  killing  local  civilians  as  well,  and,  as  planned,  eroding  the  world's  morale.
",israel,ACTIVE
204,"Americans Send Help to Israel, Including Supplies That Range From Baby Formula to Tactical Gear; Israeli blockade stymies efforts to help Palestinians trapped in Gaza",2023-10-14," It  was  organized  by  friends  of  a  man  killed  in  Israel  and  a  New  York-based  family  with  two  sons  in  Israel.
",israel,
206,"REVIEW --- Israel's Challenge in Responding to a Brutal Surprise Attack --- Hamas staged a shockingly successful operation against the Jewish state, but history shows that wars are seldom won by such tactics.",2023-10-14," But  in  per  capita  terms  it  is  much  larger:  Approximately  1,200  Israeli  deaths,  out  of  a  population  of  9.4  million,  is  equivalent  to  some  40,000  Americans  killed,  well  over  seven  times  the  number  killed  in  Pearl  Harbor  and  9/11  combined. ",israel,
206,"REVIEW --- Israel's Challenge in Responding to a Brutal Surprise Attack --- Hamas staged a shockingly successful operation against the Jewish state, but history shows that wars are seldom won by such tactics.",2023-10-14," But  in  per  capita  terms  it  is  much  larger:  Approximately  1,200  Israeli  deaths,  out  of  a  population  of  9.4  million,  is  equivalent  to  some  40,000  Americans  killed,  well  over  seven  times  the  number  killed  in  Pearl  Harbor  and  9/11  combined. ",israel,
209,Massacre at the Music Festival,2023-10-10, Those  who  tried  to  reach  their  cars  to  escape  were  slaughtered  as  the  Hamas  killers  waited  at  the  exits. ,israel,PASSIVE
209,Massacre at the Music Festival,2023-10-10," In  one  festival  tent,  bodies  of  the  murdered  lay  piled  together  where  they'd  been  shot  en  masse,  like  the  scenes  of  Jews  shot  and  dumped  into  ditches  in  World  War  II.
",israel,
209,Massacre at the Music Festival,2023-10-10," In  one  festival  tent,  bodies  of  the  murdered  lay  piled  together  where  they'd  been  shot  en  masse,  like  the  scenes  of  Jews  shot  and  dumped  into  ditches  in  World  War  II.
",israel,PASSIVE
209,Massacre at the Music Festival,2023-10-10," In  one  festival  tent,  bodies  of  the  murdered  lay  piled  together  where  they'd  been  shot  en  masse,  like  the  scenes  of  Jews  shot  and  dumped  into  ditches  in  World  War  II.
",israel,
210,World News: Secretive Militant Commander Is Prime Target,2023-10-12,"
On  Wednesday,  Israeli  airstrikes  hit  the  home  of  one  of  his  family  members,  killing  his  brother  and  his  brother's  wife  and  children,  according  to  Palestinian  media  reports  and  people  in  Gaza.
",palestine,ACTIVE
212,"Israeli Startup Community, at Home and Abroad, Prepares to Fight; Venture firms and startup leaders are trying to safeguard workers while managing their businesses as employees and executives join the war",2023-10-10," According  to  the  Health  Ministry  in  Gaza,  687  Palestinians  have  been  killed  as  Israel  strikes  back.
",palestine,PASSIVE
213,A Middle East Action Plan for President Biden; Confront Iran and Qatar.,2023-10-16,"
Mr.  Biden's  long-overdue  speech  was  encouraging,  but  there  is  one  crucial  statement  he  should  have  made:  By  killing  27  Americans  and  capturing  others  as  hostages,  Hamas  has  involved  the  U.S.  directly,  not  only  as  an  ally  of  Israel.
",israel,ACTIVE
213,A Middle East Action Plan for President Biden; Confront Iran and Qatar.,2023-10-16,"
Dozens  of  American  citizens  have  been  killed  or  taken  hostage  in  Israel. ",israel,PASSIVE
213,A Middle East Action Plan for President Biden; Confront Iran and Qatar.,2023-10-16," More  than  1,300  Israelis  have  been  killed. ",israel,PASSIVE
217,Violence Surges in the West Bank Following Hamas Attack on Israelis; Concerns are rising that the clashes could spill over into an all-out confrontation between Palestinians and Israel in the territory,2023-10-16,"
In  the  wake  of  the  Hamas  attack  that  killed  1,400  Israelis,  most  of  them  civilians,  in  southern  Israel,  Jewish  settlers  have  attacked  Palestinians  and  security  forces  have  clashed  with  protesters,  as  Israel  tightens  its  grip  on  the  area  to  prevent  further  attacks.
",israel,ACTIVE
217,Violence Surges in the West Bank Following Hamas Attack on Israelis; Concerns are rising that the clashes could spill over into an all-out confrontation between Palestinians and Israel in the territory,2023-10-16,"
At  least  56  Palestinians  have  been  killed  in  the  West  Bank  and  East  Jerusalem,  according  to  Palestinian  health  authorities. ",palestine,PASSIVE
217,Violence Surges in the West Bank Following Hamas Attack on Israelis; Concerns are rising that the clashes could spill over into an all-out confrontation between Palestinians and Israel in the territory,2023-10-16,"
More  than  2,300  Palestinians  have  been  killed  in  Gaza  over  the  past  week,  about  half  of  them  women  and  children. ",palestine,PASSIVE
217,Violence Surges in the West Bank Following Hamas Attack on Israelis; Concerns are rising that the clashes could spill over into an all-out confrontation between Palestinians and Israel in the territory,2023-10-16,"
Sixteen  Palestinians  were  killed  on  Friday  across  the  West  Bank. ",palestine,PASSIVE
217,Violence Surges in the West Bank Following Hamas Attack on Israelis; Concerns are rising that the clashes could spill over into an all-out confrontation between Palestinians and Israel in the territory,2023-10-16," Earlier  in  the  week,  three  Palestinian  men  were  killed  in  a  settler  attack  in  the  village  of  Qusra  near  Nablus,  according  to  Palestinian  authorities. ",palestine,PASSIVE
217,Violence Surges in the West Bank Following Hamas Attack on Israelis; Concerns are rising that the clashes could spill over into an all-out confrontation between Palestinians and Israel in the territory,2023-10-16," The  day  after,  settlers  attacked  the  funeral,  killing  another  two  men.
",palestine,ACTIVE
218,Upward Mobility: Hamas War Shows Us What American Universities Stand For,2023-10-18,"
The  Israeli  civilians  who  were  abducted,  tortured  and  killed  --  including  women,  children  and  senior  citizens  --  weren't  bystanders  caught  in  the  crossfire. ",israel,
218,Upward Mobility: Hamas War Shows Us What American Universities Stand For,2023-10-18, Entire  families  were  executed  in  their  homes. ,palestine,PASSIVE
222,"Israel Declares War on Hamas After Surprise Assault From Gaza; Thousands of rockets are fired as far north as Tel Aviv, gunmen cross Gaza border",2023-10-08," He  didn't  say  how  many  terrorists  might  remain,  although  the  IDF  killed  more  than  200  so  far.
",palestine,ACTIVE
222,"Israel Declares War on Hamas After Surprise Assault From Gaza; Thousands of rockets are fired as far north as Tel Aviv, gunmen cross Gaza border",2023-10-08," At  least  256  Palestinians  have  been  killed  and  more  than  1,788  injured  in  Israeli  counterstrikes  on  Gaza,  the  Palestinian  Health  Ministry  said.
",palestine,PASSIVE
223,Natural Gas Is More Vulnerable Than Oil,2023-10-16,"
Brent  crude  has  risen  7.5%  since  Hamas  attacked  Israel  in  an  assault  that  killed  1,300  people. ",israel,ACTIVE
226,World News: Egypt Weighs Opening Border to Refugees --- The permanent displacement of Palestinians and security are concerns,2023-10-16,"
A  flurry  of  recent  diplomacy,  which  included  a  visit  to  Cairo  on  Sunday  by  U.S.  Secretary  of  State  Antony  Blinken,  puts  Egypt  at  the  center  of  efforts  to  temporarily  halt  an  Israeli  bombing  campaign  that  has  displaced  a  million  people  --  retaliation  for  a  brutal  Oct.  7  attack  launched  by  Hamas  that  killed  at  least  1,400  Israelis. ",israel,ACTIVE
229,Finding Solace -- and a New Policy -- in Israel,2023-10-11," Nine-hundred  Israelis  killed  and  2,500  wounded  would  be  around  32,000  dead  and  90,000  wounded  in  America. ",israel,ACTIVE
231,"Wake Up, Washington",2023-10-10," 
At  least  11  Americans  were  among  the  hundreds  killed  in  the  weekend  attack  in  Israel,  which  has  begun  striking  back  at  Hamas. ",israel,
232,Simchat Torah and the Jewish Love of Life; Hamas started its war on the holiday that commemorates the 'Joy of the Law.',2023-10-12," ""  That  sentiment  drove  Hamas's  terrorists  as  they  hunted  down,  tortured  and  murdered  soldiers  and  civilians,  elderly  and  children.
",israel,
232,Simchat Torah and the Jewish Love of Life; Hamas started its war on the holiday that commemorates the 'Joy of the Law.',2023-10-12,"""

Anti-Semites,  from  those  murdering  children  on  the  streets  of  Israel  to  those  celebrating  Hamas  on  the  streets  of  New  York,  are  driven  by  jealousy  and  hatred  of  a  people  that  doesn't  die. ",israel,ACTIVE
232,Simchat Torah and the Jewish Love of Life; Hamas started its war on the holiday that commemorates the 'Joy of the Law.',2023-10-12,"""

Anti-Semites,  from  those  murdering  children  on  the  streets  of  Israel  to  those  celebrating  Hamas  on  the  streets  of  New  York,  are  driven  by  jealousy  and  hatred  of  a  people  that  doesn't  die. ",israel,ACTIVE
237,"Hamas's American Casualties; Fourteen U.S. citizens dead, 20 missing, and some held hostage.",2023-10-10," 
The  death  toll  from  Hamas's  mass  slaughter  has  now  reached  more  than  1,000,  most  of  them  Israelis,  but  many  from  around  the  world,  and  at  least  14  U.S.  citizens  are  now  confirmed  as  among  those  killed. ",israel,
237,"Hamas's American Casualties; Fourteen U.S. citizens dead, 20 missing, and some held hostage.",2023-10-10," ""He  was  murdered,""  she  said. ",israel,PASSIVE
241,"Israel Declares War on Hamas After Surprise Assault From Gaza; Thousands of rockets are fired as far north as Tel Aviv, gunmen cross Gaza border",2023-10-07," At  least  232  Palestinians  have  been  killed  and  more  than  1,697  injured  in  Israeli  counterstrikes  on  Gaza,  the  Palestinian  Health  Ministry  said.
",palestine,PASSIVE
247,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-11," 
DUBAI—Saturday's  attack  on  Israel  by  Hamas  militants,  who  killed  more  than  1,200  people  and  kidnapped  many  others  back  to  the  Gaza  Strip,  has  upended  fundamental  assumptions  about  the  Middle  East.
",israel,ACTIVE
247,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-11," After  swiftly  breaching  costly  Israeli  border  fortifications  and  overrunning  military  bases,  Hamas  gunmen  went  on  a  killing  spree—causing  the  worst  loss  of  Jewish  lives  since  the  Holocaust.
",israel,
247,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-11,"
More  Israeli  citizens  were  killed  Saturday  than  during  the  entire  Second  Intifada  of  2000-2005,  she  said.
",israel,PASSIVE
247,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-11," Israel's  high-tech  border  surveillance  system  around  Gaza  was  knocked  down  with  cheap  drones,  senior  officers  were  killed  at  captured  Israeli  military  bases  and  it  took  several  hours  for  Israeli  forces  to  start  driving  back  Hamas—time  that  the  Palestinian  gunmen  used  to  murder  or  kidnap  defenseless  civilians  .
",israel,PASSIVE
247,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-11," Israel's  high-tech  border  surveillance  system  around  Gaza  was  knocked  down  with  cheap  drones,  senior  officers  were  killed  at  captured  Israeli  military  bases  and  it  took  several  hours  for  Israeli  forces  to  start  driving  back  Hamas—time  that  the  Palestinian  gunmen  used  to  murder  or  kidnap  defenseless  civilians  .
",israel,ACTIVE
247,"Hamas Invasion Rewrites Rules in Middle East; Risk of wider war grows as U.S., Israel and its enemies respond to attack",2023-10-11," Several  hundred  Gaza  residents,  including  civilians,  have  been  killed  since  then,  according  to  the  Hamas-controlled  Ministry  of  Health,  and  key  infrastructure  destroyed.
",palestine,PASSIVE
248,"Iran Knew Hamas Was Planning Attacks, but Not Timing or Scale, U.S. Says; Tehran's leaders were surprised, according to U.S. intelligence",2023-10-12,"
Iran's  role  in  the  bloody  Hamas  attack,  which  has  killed  more  than  1,200  Israelis  and  at  least  22  U.S.  citizens,  is  important  because  Israel  has  threatened  to  retaliate  against  Tehran  if  it  was  found  to  have  direct  involvement,  and  because  such  involvement  would  pressure  President  Biden  to  take  an  even  tougher  stance  against  Iran.
",israel,ACTIVE
249,'I'm Not a Diplomat...I'm a Mom' --- Parents launch a desperate quest after their U.S.-born son is captured by Hamas,2023-10-17," Footage  from  cameras  on  militants'  heads  posted  online  recorded  them  hunting  for  victims  and  killing  the  wounded.
",israel,ACTIVE
249,'I'm Not a Diplomat...I'm a Mom' --- Parents launch a desperate quest after their U.S.-born son is captured by Hamas,2023-10-17," Hamas  has  said  22  hostages  have  been  killed  by  Israeli  bombs,  which  have  claimed  the  lives  of  more  than  2,750  Palestinians  to  date  --  nearly  a  third  of  them  children  --  according  to  the  Gaza-based  Health  Ministry. ",both,PASSIVE
251,What's News: World-Wide,2023-10-12," 
 Prime  Minister  Benjamin  Netanyahu  of  Israel  agreed  to  form  a  national  unity  government  that  includes  members  of  the  opposition  and  former  military  leaders,  a  move  aimed  at  reassuring  a  country  reeling  from  the  deadly  attack  by  Hamas  militants  that  killed  1,200  Israelis,  and  bracing  for  a  possible  ground  assault  into  Gaza. 
 ",israel,ACTIVE
